,id,lon,lat,geometry
15,158780.0,-15.461680456314998,16.58229167013499,POINT (-15.461680456314998 16.58229167013499)
18,161756.0,-15.463763789644997,16.58020833680499,POINT (-15.463763789644997 16.58020833680499)
19,161758.0,-15.459597122984997,16.58020833680499,POINT (-15.459597122984997 16.58020833680499)
20,164730.0,-15.470013789634995,16.57812500347499,POINT (-15.470013789634995 16.57812500347499)
21,167711.0,-15.461680456314998,16.57604167014499,POINT (-15.461680456314998 16.57604167014499)
22,167713.0,-15.457513789654996,16.57604167014499,POINT (-15.457513789654996 16.57604167014499)
23,170679.0,-15.480430456284996,16.57395833681499,POINT (-15.480430456284996 16.57395833681499)
24,173653.0,-15.486680456274996,16.57187500348499,POINT (-15.486680456274996 16.57187500348499)
25,173657.0,-15.478347122954997,16.57187500348499,POINT (-15.478347122954997 16.57187500348499)
26,173662.0,-15.467930456304996,16.57187500348499,POINT (-15.467930456304996 16.57187500348499)
29,176633.0,-15.480430456284996,16.569791670154988,POINT (-15.480430456284996 16.569791670154988)
32,179617.0,-15.465847122974996,16.56770833682499,POINT (-15.465847122974996 16.56770833682499)
33,179620.0,-15.459597122984997,16.56770833682499,POINT (-15.459597122984997 16.56770833682499)
36,182587.0,-15.480430456284996,16.56562500349499,POINT (-15.480430456284996 16.56562500349499)
39,188541.0,-15.480430456284996,16.56145833683499,POINT (-15.480430456284996 16.56145833683499)
40,188552.0,-15.457513789654996,16.56145833683499,POINT (-15.457513789654996 16.56145833683499)
42,191524.0,-15.467930456304996,16.55937500350499,POINT (-15.467930456304996 16.55937500350499)
44,194503.0,-15.463763789644997,16.55729167017499,POINT (-15.463763789644997 16.55729167017499)
45,194512.0,-15.445013789674997,16.55729167017499,POINT (-15.445013789674997 16.55729167017499)
46,194513.0,-15.442930456344996,16.55729167017499,POINT (-15.442930456344996 16.55729167017499)
47,194515.0,-15.438763789684998,16.55729167017499,POINT (-15.438763789684998 16.55729167017499)
51,197491.0,-15.440847123014995,16.555208336844988,POINT (-15.440847123014995 16.555208336844988)
